Gestora;Data;Talão;Classificação;Descrição;Valor
ADECA;31/01/2017;31.01.0029;1325.02.99.08.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;76,57
DES. SOCIA;31/01/2017;31.01.0030;1325.02.99.05.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;237,59
DES. SOCIA;31/01/2017;31.01.0031;1325.01.10.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;523,72
DES. SOCIA;31/01/2017;31.01.0032;1325.01.10.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;60,25
SEFIN;31/01/2017;31.01.0033;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;143,22
SEFIN;31/01/2017;31.01.0034;1922.99.00.00.00;Outras Restituições;21.999,77
DES. SOCIA;31/01/2017;31.01.0035;1325.02.99.05.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;177,60
SEINFRA;31/01/2017;31.01.0036;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;2.966,96
SEINFRA;31/01/2017;31.01.0037;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;7.081,22
SETUR;31/01/2017;31.01.0038;1325.02.99.16.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;97,29
SETUR;31/01/2017;31.01.0039;1325.02.99.16.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;17,97
SETUR;31/01/2017;31.01.0040;1325.02.99.16.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;443,18
SETUR;31/01/2017;31.01.0041;1325.02.99.16.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;330,31
SEINFRA;31/01/2017;31.01.0042;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1,08
SEINFRA;31/01/2017;31.01.0043;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1,06
SEINFRA;31/01/2017;31.01.0044;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;308,17
SEINFRA;31/01/2017;31.01.0045;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;6,14
SEINFRA;31/01/2017;31.01.0046;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;66,39
SEINFRA;31/01/2017;31.01.0047;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;10,67
SEINFRA;31/01/2017;31.01.0048;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;0,25
SEINFRA;31/01/2017;31.01.0049;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;2.167,90
SEINFRA;31/01/2017;31.01.0050;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;2.045,00
SEINFRA;31/01/2017;31.01.0051;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;777,25
SEINFRA;31/01/2017;31.01.0052;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.672,64
SETEM;31/01/2017;31.01.0053;1325.02.99.14.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.316,50
SEDUC;31/01/2017;31.01.0055;1325.01.02.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;344,16
SEDUC;31/01/2017;31.01.0056;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.181,91
SEDUC;31/01/2017;31.01.0057;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,01
SEDUC;31/01/2017;31.01.0058;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;65,13
SEDUC;31/01/2017;31.01.0059;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.507,84
SEDUC;31/01/2017;31.01.0060;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3,71
SEDUC;31/01/2017;31.01.0061;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,52
SEDUC;31/01/2017;31.01.0062;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1,28
SEDUC;31/01/2017;31.01.0063;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;16,03
SEDUC;31/01/2017;31.01.0064;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;211,67
SEDUC;31/01/2017;31.01.0065;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;21,74
SEDUC;31/01/2017;31.01.0066;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;31,86
SEDUC;31/01/2017;31.01.0067;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;276,36
SEDUC;31/01/2017;31.01.0068;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;64,20
SEDUC;31/01/2017;31.01.0069;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;8,11
SEDUC;31/01/2017;31.01.0070;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;13.948,31
SEDUC;31/01/2017;31.01.0071;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;99,69
SEDUC;31/01/2017;31.01.0072;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.190,70
SEDUC;31/01/2017;31.01.0073;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2,87
SEDUC;31/01/2017;31.01.0074;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;33,21
SEDUC;31/01/2017;31.01.0075;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.334,40
SEDUC;31/01/2017;31.01.0076;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;833,39
SEDUC;31/01/2017;31.01.0077;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;279,89
SEDUC;31/01/2017;31.01.0078;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,17
SEDUC;31/01/2017;31.01.0079;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;236,39
SEFIN;31/01/2017;31.01.0080;1325.01.09.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.410,49
AMT;31/01/2017;31.01.0081;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;514,20
AMT;31/01/2017;31.01.0082;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;60.096,92
SESA;31/01/2017;31.01.0083;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.331,17
SESA;31/01/2017;31.01.0084;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;7,07
SEDUC;31/01/2017;31.01.0089;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.340,09
SEDUC;31/01/2017;31.01.0090;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;18,52
SEDUC;31/01/2017;31.01.0091;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;20.846,86
SEDUC;31/01/2017;31.01.0092;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;76,57
SEFIN;31/01/2017;31.01.0093;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;51,85
SEFIN;31/01/2017;31.01.0094;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;601,28
SEFIN;31/01/2017;31.01.0095;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;4.134,78
SEFIN;31/01/2017;31.01.0096;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;10,13
SEC. SEG.;31/01/2017;31.01.0097;1325.02.99.12.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1,65
SEFIN;31/01/2017;31.01.0098;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;0,75
SEFIN;31/01/2017;31.01.0099;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;7.448,74
SEFIN;31/01/2017;31.01.0100;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;30.501,20
SEFIN;31/01/2017;31.01.0101;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;718,91
SEFIN;31/01/2017;31.01.0102;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;237,78
SEFIN;31/01/2017;31.01.0103;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.661,07
SEFIN;31/01/2017;31.01.0104;1121.17.00.00.00;Taxa de Fiscalização de Vigilância Sanitária;760,90
SEFIN;31/01/2017;31.01.0105;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.193,98
SEFIN;31/01/2017;31.01.0106;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;14,28
SEFIN;31/01/2017;31.01.0107;1121.22.00.00.00;Taxa de Serviços Administrativos;47,56
SEFIN;31/01/2017;31.01.0108;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;4.618,13
SEFIN;31/01/2017;31.01.0109;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;330,91
SEFIN;31/01/2017;31.01.0110;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;6.100,00
SEFIN;31/01/2017;31.01.0111;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;879,96
SEFIN;31/01/2017;31.01.0112;1121.17.00.00.00;Taxa de Fiscalização de Vigilância Sanitária;63,41
SEFIN;31/01/2017;31.01.0113;1121.99.00.00.00;Outras Taxas pelo Exercício do Poder de Polícia;117,14
SEFIN;31/01/2017;31.01.0114;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;5.092,38
SEFIN;31/01/2017;31.01.0115;1931.13.00.00.00;Receita da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza – ISS;136,50
SEFIN;31/01/2017;31.01.0116;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;13.832,59
SEFIN;31/01/2017;31.01.0117;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;264,22
SEFIN;31/01/2017;31.01.0118;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;3.600,00
SEFIN;31/01/2017;31.01.0119;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;40,00
SEFIN;31/01/2017;31.01.0120;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;237,78
SEFIN;31/01/2017;31.01.0121;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;3.119,28
SEFIN;31/01/2017;31.01.0122;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;1.645,94
SEFIN;31/01/2017;31.01.0123;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;8.951,00
SEFIN;31/01/2017;31.01.0124;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;328,46
SEINFRA;31/01/2017;31.01.0126;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;3.420,51
SECPAT;31/01/2017;31.01.0127;1325.02.99.13.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;7,71
DES. SOCIA;31/01/2017;31.01.0128;1325.02.99.05.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;53,84
SESA;31/01/2017;31.01.0131;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1,01
SESA;31/01/2017;31.01.0132;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,11
SESA;31/01/2017;31.01.0133;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;216,16
SEFIN;31/01/2017;31.01.0135;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;12.361,32
SESA;31/01/2017;31.01.0136;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;323,80
SESA;31/01/2017;31.01.0137;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.924,80
SESA;31/01/2017;31.01.0138;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;6.819,07
SESA;31/01/2017;31.01.0140;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;5.096,34
SESA;31/01/2017;31.01.0141;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;27,06
SESA;31/01/2017;31.01.0142;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;6,13
SESA;31/01/2017;31.01.0143;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;32,37
SESA;31/01/2017;31.01.0144;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;659,14
SESA;31/01/2017;31.01.0145;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;657,85
SESA;31/01/2017;31.01.0146;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;657,85
DES. SOCIA;31/01/2017;31.01.0147;1325.01.10.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.396,90
SESA;31/01/2017;31.01.0148;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;299,73
SESA;31/01/2017;31.01.0149;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.439,85
SEAGRI;31/01/2017;31.01.0150;1325.02.99.07.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;78,34
SEAD;31/01/2017;31.01.0151;1325.02.99.09.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;514,05
SEAD;31/01/2017;31.01.0152;1325.02.99.09.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;10,27
ASCOM;31/01/2017;31.01.0153;1325.02.99.10.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;48,71
SESA;31/01/2017;31.01.0156;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;194,39
SEMAM;31/01/2017;31.01.0158;1325.02.99.15.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;56,03
GABINETE;31/01/2017;31.01.0161;1325.02.99.01.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1,94
GABINETE;31/01/2017;31.01.0162;1325.02.99.01.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;48,77
SEFIN;31/01/2017;31.01.0163;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;0,01
SESA;31/01/2017;31.01.0164;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;410,25
SEINFRA;31/01/2017;31.01.0165;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;3.175,12
SEINFRA;31/01/2017;31.01.0166;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;2.916,09
SEDUC;31/01/2017;31.01.0167;1325.01.02.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;81,65
SESA;31/01/2017;31.01.0168;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.014,39
SESA;31/01/2017;31.01.0169;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;5,14
SEINFRA;31/01/2017;31.01.0170;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.266,29
ADECA;31/01/2017;31.01.0171;1325.02.99.08.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;33,27
ADECA;31/01/2017;31.01.0172;1325.02.99.08.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.139,13
SEDUC;31/01/2017;31.01.0173;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.126,64
SEFIN;31/01/2017;31.01.0174;1931.13.00.00.00;Receita da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza – ISS;379,88
SETEM;31/01/2017;31.01.0175;1325.02.99.14.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.298,23
SEINFRA;31/01/2017;31.01.0176;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;9.177,63
GAB. VICE;31/01/2017;31.01.0178;1325.02.99.02.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;0,03
PGM;31/01/2017;31.01.0179;1325.02.99.03.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1,71
PGM;31/01/2017;31.01.0180;1325.02.99.03.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;587,49
SEFIN;31/01/2017;31.01.0181;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;29.055,14
SEFIN;31/01/2017;31.01.0182;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;153,32
SEFIN;31/01/2017;31.01.0183;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;2.791,88
SEFIN;31/01/2017;31.01.0184;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;551,16
SEDUC;31/01/2017;31.01.0185;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;11,49
SEDUC;31/01/2017;31.01.0186;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1,15
SEDUC;31/01/2017;31.01.0187;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.077,90
DES. SOCIA;31/01/2017;31.01.0188;1325.01.10.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2,05
SEDUC;31/01/2017;31.01.0189;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;478,12
SEDUC;31/01/2017;31.01.0190;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.725,42
SEDUC;31/01/2017;31.01.0191;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;214,71
SEDUC;31/01/2017;31.01.0192;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,17
SEDUC;31/01/2017;31.01.0193;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.342,17
SEDUC;31/01/2017;31.01.0194;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;61,91
SEINFRA;31/01/2017;31.01.0195;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;2,53
SEDUC;31/01/2017;31.01.0196;1325.01.02.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;21.654,78
SEDUC;31/01/2017;31.01.0197;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;11.610,51
SETEM;31/01/2017;31.01.0198;1325.02.99.14.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;264,20
SESA;31/01/2017;31.01.0199;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,04
SESA;31/01/2017;31.01.0200;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;681,02
SESA;31/01/2017;31.01.0201;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2,73
SESA;31/01/2017;31.01.0202;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;46,21
SESA;31/01/2017;31.01.0203;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;994,10
SESA;31/01/2017;31.01.0204;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.151,21
SESA;31/01/2017;31.01.0205;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,02
SESA;31/01/2017;31.01.0206;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,98
SESA;31/01/2017;31.01.0207;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;0,03
SEDUC;31/01/2017;31.01.0208;1325.01.05.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.034,53
SESA;31/01/2017;31.01.0209;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;424,39
SESA;31/01/2017;31.01.0210;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;56,52
SESA;31/01/2017;31.01.0211;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.450,81
DES. SOCIA;31/01/2017;31.01.0212;1325.01.10.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.148,61
SESA;31/01/2017;31.01.0213;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.457,07
SESA;31/01/2017;31.01.0214;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;229,01
SESA;31/01/2017;31.01.0215;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;229,84
SESA;31/01/2017;31.01.0216;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.930,21
ADECA;31/01/2017;31.01.0217;1325.02.99.08.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.196,23
SESA;31/01/2017;31.01.0218;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.454,64
SEFIN;31/01/2017;31.01.0219;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;1.405,48
SEFIN;31/01/2017;31.01.0220;1325.02.99.00.00;Remuneração de Outros Depósitos De Recursos não vinculados;3.031,15
SECPAT;31/01/2017;31.01.0221;1325.02.99.13.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;115,54
IMAC;31/01/2017;31.01.0222;1325.02.99.18.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;0,04
SESA;31/01/2017;31.01.0223;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;3.349,37
SESA;31/01/2017;31.01.0224;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;6.353,08
SESA;31/01/2017;31.01.0225;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.515,52
AMT;31/01/2017;31.01.0226;1325.01.99.02.00;Receita de Remuneração de Depósitos Bancários ;390,91
AMT;31/01/2017;31.01.0227;1325.01.99.02.00;Receita de Remuneração de Depósitos Bancários ;26,08
AMT;31/01/2017;31.01.0228;1325.02.99.17.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;109,57
SESA;31/01/2017;31.01.0229;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.686,02
SESA;31/01/2017;31.01.0230;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;970,75
SESA;31/01/2017;31.01.0231;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.566,03
SESA;31/01/2017;31.01.0232;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;1.164,12
SESA;31/01/2017;31.01.0233;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;69,35
SESA;31/01/2017;31.01.0234;1325.01.03.00.00;Receita de Remuneração de Depósitos Bancários de Recursos Vinculados Receita de Remuneraç;2.649,07
IMAC;31/01/2017;31.01.0235;1325.02.99.18.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;1.351,34
